,sedol,name,symbol,sector,country,weight,date
0,B297KM,China Railway Group Limited Class H,390-HK,Industrials,China,0.100003,2023-12-29
1,B1L2RC,Haitian International Holdings Limited,1882-HK,Industrials,China,0.0842404,2023-12-29
2,52490G10,Legend Biotech Corp. Sponsored ADR,LEGN-US,Health Care,China,0.233986,2023-12-29
3,B1Z7FX,Fosun International Limited,656-HK,Industrials,China,0.0773875,2023-12-29
4,B633D9,Zhongsheng Group Holdings Ltd.,881-HK,Consumer Discretionary,China,0.106772,2023-12-29
5,B1DYPZ,"China Merchants Bank Co., Ltd. Class H",3968-HK,Financials,China,0.724947,2023-12-29
6,B56KLY,Longfor Group Holdings Ltd.,960-HK,Real Estate,China,0.168831,2023-12-29
7,B1HVJ1,China Communications Services Corp. Ltd. Class H,552-HK,Industrials,China,0.0529202,2023-12-29
8,B1H508,"Zhaojin Mining Industry Co., Ltd. Class H",1818-HK,Materials,China,0.0865319,2023-12-29
9,B0MP1B,Shenzhou International Group Holdings Limited,2313-HK,Consumer Discretionary,China,0.454007,2023-12-29
10,BN320P,"China Vanke Co., Ltd Class H",2202-HK,Real Estate,China,0.108809,2023-12-29
11,B0BM5T,China State Construction International Holdings Limited,3311-HK,Industrials,China,0.124278,2023-12-29
12,B01B1L,China Mengniu Dairy Company Limited,2319-HK,Consumer Staples,China,0.451231,2023-12-29
13,98850P10,"Yum China Holdings, Inc.",YUMC-US,Consumer Discretionary,China,0.937554,2023-12-29
14,B8XBQ9,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd. Class H",2196-HK,Health Care,China,0.0576772,2023-12-29
15,BP7MLC,"Shanghai Fudan Microelectronics Group Co., Ltd. Class A",,Information Technology,China,0.0092412,2023-12-29
16,B17N9P,Greentown China Holdings Ltd.,3900-HK,Real Estate,China,0.0618676,2023-12-29
17,B85LKS,AAC Technologies Holdings Inc.,2018-HK,Information Technology,China,0.113946,2023-12-29
18,BGQYNN,Xinyi Solar Holdings Ltd.,968-HK,Information Technology,China,0.152509,2023-12-29
19,B8RZJZ,People's Insurance Co. (Group) of China Ltd. Class H,1339-HK,Financials,China,0.14304,2023-12-29
20,656099,China Oilfield Services Limited Class H,2883-HK,Energy,China,0.0987123,2023-12-29
21,B2Q14Z,Want Want China Holdings Limited,151-HK,Consumer Staples,China,0.153185,2023-12-29
22,BKT6GZ,"CGN Power Co., Ltd. Class A",,Utilities,China,0.02199,2023-12-29
23,23703Q20,Daqo New Energy Corp Sponsored ADR,DQ-US,Information Technology,China,0.0822096,2023-12-29
24,B92NYF,"China Galaxy Securities Co., Ltd. Class H",6881-HK,Financials,China,0.0989091,2023-12-29
25,B0WC2B,Nine Dragons Paper Holdings Ltd.,2689-HK,Materials,China,0.0431845,2023-12-29
26,B0J2D4,"Baidu, Inc. Class A",9888-HK,Communication Services,China,1.78845,2023-12-29
27,B1YVKN,ANTA Sports Products Ltd.,2020-HK,Consumer Discretionary,China,0.659484,2023-12-29
28,B1Z764,Vinda International Holdings Limited,3331-HK,Consumer Staples,China,0.0467423,2023-12-29
29,BZBY9R,C&D International Investment Group Ltd.,1908-HK,Real Estate,China,0.0839115,2023-12-29
30,B43399,"Guangzhou Automobile Group Co., Ltd. Class H",2238-HK,Consumer Discretionary,China,0.0729825,2023-12-29
31,600030,Jiangxi Copper Company Limited Class H,358-HK,Materials,China,0.0836964,2023-12-29
32,600550,Jiangsu Expressway Co. Ltd. Class H,177-HK,Industrials,China,0.0585907,2023-12-29
33,601369,China Southern Airlines Company Limited Class H,1055-HK,Industrials,China,0.0419953,2023-12-29
34,601901,Inner Mongolia Yitai Coal Company Limited Class B,900948-CN,Energy,China,0.0873135,2023-12-29
35,602669,"Anhui Gujing Distillery Co., Ltd. Class B",200596-CN,Consumer Staples,China,0.0876316,2023-12-29
36,BMDMJ8,China Ruyi Holdings Limited,136-HK,Communication Services,China,0.0679319,2023-12-29
37,05278C10,Autohome Inc. Sponsored ADR Class A,ATHM-US,Communication Services,China,0.101391,2023-12-29
38,608039,Anhui Conch Cement Company Limited Class H,914-HK,Materials,China,0.152121,2023-12-29
39,608169,Beijing Enterprises Holdings Limited,392-HK,Utilities,China,0.093474,2023-12-29
40,609967,"Huaneng Power International, Inc. Class H",902-HK,Utilities,China,0.119618,2023-12-29
41,610989,Yankuang Energy Group Company Limited Class H,1171-HK,Energy,China,0.231094,2023-12-29
42,613623,"Hengan International Group Co., Ltd.",1044-HK,Consumer Staples,China,0.126818,2023-12-29
43,618148,Brilliance China Automotive Holdings Limited,1114-HK,Consumer Discretionary,China,0.0899384,2023-12-29
44,619199,CSPC Pharmaceutical Group Limited,1093-HK,Health Care,China,0.442673,2023-12-29
45,619215,China Overseas Land & Investment Limited,688-HK,Real Estate,China,0.360013,2023-12-29
46,619376,China Resources Land Limited,1109-HK,Real Estate,China,0.613674,2023-12-29
47,619615,CITIC Limited,267-HK,Industrials,China,0.309951,2023-12-29
48,621808,Lenovo Group Limited,992-HK,Information Technology,China,0.542735,2023-12-29
49,622657,"PetroChina Co., Ltd. Class H",857-HK,Energy,China,0.743584,2023-12-29
50,626404,"China Taiping Insurance Holdings Co., Ltd.",966-HK,Financials,China,0.0659827,2023-12-29
51,B00XSF,Sino Biopharmaceutical Limited,1177-HK,Health Care,China,0.245075,2023-12-29
52,629181,China Petroleum & Chemical Corporation Class H,386-HK,Energy,China,0.691334,2023-12-29
53,632195,TravelSky Technology Ltd. Class H,696-HK,Consumer Discretionary,China,0.0859868,2023-12-29
54,B3ZVDV,"Sinopharm Group Co., Ltd. Class H",1099-HK,Health Care,China,0.187415,2023-12-29
55,633393,ENN Energy Holdings Limited,2688-HK,Utilities,China,0.31098,2023-12-29
56,634007,KunLun Energy Co. Ltd.,135-HK,Utilities,China,0.187354,2023-12-29
57,635425,COSCO SHIPPING Ports Limited,1199-HK,Industrials,China,0.0539421,2023-12-29
58,BNR5PB,Yuexiu Property Company Limited,123-HK,Real Estate,China,0.0699432,2023-12-29
59,641613,"China Merchants Port Holdings Co., Ltd.",144-HK,Industrials,China,0.105071,2023-12-29
60,642539,Aluminum Corporation of China Limited Class H,2600-HK,Materials,China,0.105055,2023-12-29
61,BP3R8G,"China Merchants Energy Shipping Co., Ltd. Class A",,Energy,China,0.021519,2023-12-29
62,674395,"Weichai Power Co., Ltd. Class H",2338-HK,Industrials,China,0.173053,2023-12-29
63,646079,China Gas Holdings Limited,384-HK,Utilities,China,0.143117,2023-12-29
64,649131,Kingboard Holdings Limited,148-HK,Information Technology,China,0.0848419,2023-12-29
65,653182,Geely Automobile Holdings Limited,175-HK,Consumer Discretionary,China,0.354249,2023-12-29
66,653551,China Resources Gas Group Limited,1193-HK,Utilities,China,0.16184,2023-12-29
67,653665,BYD Company Limited Class H,1211-HK,Consumer Discretionary,China,1.52746,2023-12-29
68,663094,China Everbright Environment Group Limited,257-HK,Industrials,China,0.0639417,2023-12-29
69,665911,Orient Overseas (International) Limited,316-HK,Industrials,China,0.0983255,2023-12-29
70,678204,"COSCO SHIPPING Energy Transportation Co., Ltd. Class H",1138-HK,Energy,China,0.0652368,2023-12-29
71,683542,"Shanghai Baosight Software Co., Ltd. Class B",900926-CN,Information Technology,China,0.0682015,2023-12-29
72,690355,Tingyi (Cayman Islands) Holding Corp.,322-HK,Consumer Staples,China,0.128224,2023-12-29
73,690580,"Tsingtao Brewery Co., Ltd. Class H",168-HK,Consumer Staples,China,0.222722,2023-12-29
74,691316,Guangdong Investment Limited,270-HK,Utilities,China,0.114134,2023-12-29
75,B01YCG,Beijing Enterprises Water Group Limited,371-HK,Utilities,China,0.0477583,2023-12-29
76,697177,China Traditional Chinese Medicine Holdings Co. Ltd.,570-HK,Health Care,China,0.0811022,2023-12-29
77,697245,China Resources Beer (Holdings) Co. Ltd.,291-HK,Consumer Staples,China,0.378897,2023-12-29
78,699076,Zhejiang Expressway Co. Ltd. Class H,576-HK,Industrials,China,0.0598496,2023-12-29
79,BP3R5R,"Hainan Airlines Holding Co., Ltd. Class A",,Industrials,China,0.0266064,2023-12-29
80,44332N10,H World Group Limited Sponsored ADR,HTHT-US,Consumer Discretionary,China,0.369533,2023-12-29
81,BK9488,"Tianfeng Securities Co., Ltd. Class A",,Financials,China,0.0120335,2023-12-29
82,B29MKF,Uni-President China Holdings Ltd.,220-HK,Consumer Staples,China,0.0491192,2023-12-29
83,BFF1YZ,"Oppein Home Group, Inc. Class A",,Consumer Discretionary,China,0.0158797,2023-12-29
84,BMGWW3,"Nongfu Spring Co., Ltd. Class H",9633-HK,Consumer Staples,China,0.621025,2023-12-29
85,BFF1YN,"Juewei Food Co., Ltd. Class A",,Consumer Staples,China,0.00761948,2023-12-29
86,B1YBT0,"Sunny Optical Technology (Group) Co., Ltd.",2382-HK,Information Technology,China,0.345001,2023-12-29
87,B27WRM,Kingsoft Corporation Ltd,3888-HK,Communication Services,China,0.157341,2023-12-29
88,674234,Shandong Weigao Group Medical Polymer Co. Ltd. Class H,1066-HK,Health Care,China,0.12928,2023-12-29
89,670625,"PICC Property & Casualty Co., Ltd. Class H",2328-HK,Financials,China,0.437293,2023-12-29
90,BJLWMG,Chongqing Rural Commercial Bank Co. Ltd. Class A,,Financials,China,0.016215,2023-12-29
91,B01FLR,"Ping An Insurance (Group) Company of China, Ltd. Class H",2318-HK,Financials,China,1.61833,2023-12-29
92,BZ04KX,Yadea Group Holdings Ltd.,1585-HK,Consumer Discretionary,China,0.11484,2023-12-29
93,B2RJYH,Xtep International Holdings Limited,1368-HK,Consumer Discretionary,China,0.0437097,2023-12-29
94,B676TW,MicroPort Scientific Corp.,853-HK,Health Care,China,0.0474538,2023-12-29
95,B01JCK,Li Ning Company Limited,2331-HK,Consumer Discretionary,China,0.338658,2023-12-29
96,B0PH5N,"Dongfeng Motor Group Co., Ltd. Class H",489-HK,Consumer Discretionary,China,0.0675849,2023-12-29
97,B0LMTQ,China Construction Bank Corporation Class H,939-HK,Financials,China,3.05421,2023-12-29
98,BYZJV1,BOC Aviation Limited,2588-HK,Industrials,China,0.084895,2023-12-29
99,B04KNF,Air China Limited Class H,753-HK,Industrials,China,0.0615783,2023-12-29
100,B02ZKQ,China Power International Development Ltd,2380-HK,Utilities,China,0.0969923,2023-12-29
101,BMMV2K,Tencent Holdings Ltd,700-HK,Communication Services,China,13.374,2023-12-29
102,B09N7M,China Shenhua Energy Co. Ltd. Class H,1088-HK,Energy,China,0.617074,2023-12-29
103,B0RJCG,Minth Group Limited,425-HK,Consumer Discretionary,China,0.0814038,2023-12-29
104,B6WY99,China Medical System Holdings Ltd.,867-HK,Health Care,China,0.127479,2023-12-29
105,B15456,Bank of China Limited Class H,3988-HK,Financials,China,1.6169,2023-12-29
106,B0Y91C,China National Building Material Co. Ltd. Class H,3323-HK,Materials,China,0.0883841,2023-12-29
107,672529,"Zijin Mining Group Co., Ltd. Class H",2899-HK,Materials,China,0.473491,2023-12-29
108,BC9S4J,Chinasoft International Ltd.,354-HK,Information Technology,China,0.108643,2023-12-29
109,BWVFT0,"Huatai Securities Co., Ltd. Class H",6886-HK,Financials,China,0.0868252,2023-12-29
110,B04KP8,ZTE Corporation Class H,763-HK,Information Technology,China,0.0899918,2023-12-29
111,B0B8Z2,"Bank of Communications Co., Ltd. Class H",3328-HK,Financials,China,0.291142,2023-12-29
112,BSBMM0,"CGN Power Co., Ltd. Class H",1816-HK,Utilities,China,0.147768,2023-12-29
113,B0B8Z1,"COSCO SHIPPING Holdings Co., Ltd. Class H",1919-HK,Industrials,China,0.161881,2023-12-29
114,BGN971,Haidilao International Holding Ltd.,6862-HK,Consumer Discretionary,China,0.166063,2023-12-29
115,B57JY2,"China Minsheng Banking Corp., Ltd. Class H",1988-HK,Financials,China,0.120474,2023-12-29
116,671156,China Resources Power Holdings Co. Ltd.,836-HK,Utilities,China,0.205543,2023-12-29
117,670789,AviChina Industry & Technology Co. Ltd. Class H,2357-HK,Industrials,China,0.0568412,2023-12-29
118,671897,China Life Insurance Co. Ltd. Class H,2628-HK,Financials,China,0.514331,2023-12-29
119,671825,"Great Wall Motor Co., Ltd. Class H",2333-HK,Consumer Discretionary,China,0.160589,2023-12-29
120,B1JNK8,China Coal Energy Co. Ltd. Class H,1898-HK,Energy,China,0.0995721,2023-12-29
121,BGY6SV,"China Cinda Asset Management Co., Ltd. Class H",1359-HK,Financials,China,0.050596,2023-12-29
122,B1HHFV,Kingboard Laminates Holdings Limited,1888-HK,Information Technology,China,0.0429601,2023-12-29
123,B1G1QD,Industrial and Commercial Bank of China Limited Class H,1398-HK,Financials,China,1.69838,2023-12-29
124,B1L3XL,"Zhuzhou CRRC Times Electric Co., Ltd. Class H",3898-HK,Industrials,China,0.0750268,2023-12-29
125,B28XTR,GCL Technology Holdings Limited,3800-HK,Information Technology,China,0.182887,2023-12-29
126,BYZQ09,"Zhongan Online P&C Insurance Co., Ltd. Class H",6060-HK,Financials,China,0.0865,2023-12-29
127,632758,"Kingdee International Software Group Co., Ltd.",268-HK,Information Technology,China,0.216163,2023-12-29
128,BD6QWS,"Shenzhen YUTO Packaging Technology Co., Ltd. Class A",,Materials,China,0.0115037,2023-12-29
129,B1VRCG,CMOC Group Limited Class H,3993-HK,Materials,China,0.10898,2023-12-29
130,B1VKYN,Country Garden Holdings Co. Ltd.,2007-HK,Real Estate,China,0.0670976,2023-12-29
131,B1W0JF,China CITIC Bank Corporation Ltd Class H,998-HK,Financials,China,0.224432,2023-12-29
132,B56HH4,"Sany Heavy Equipment International Holdings Co., Ltd.",631-HK,Industrials,China,0.0575634,2023-12-29
133,B24FZ3,Bosideng International Holdings Limited,3998-HK,Consumer Discretionary,China,0.0914987,2023-12-29
134,B296ZH,Sinotruk Hong Kong Ltd.,3808-HK,Industrials,China,0.0722245,2023-12-29
135,BMXWM1,"Anjoy Foods Group Co., Ltd. Class A",,Consumer Staples,China,0.013788,2023-12-29
136,B29SHS,"BYD Electronic (International) Co., Ltd.",285-HK,Information Technology,China,0.197138,2023-12-29
137,BGJW37,Meituan Class B,3690-HK,Consumer Discretionary,China,2.8392,2023-12-29
138,BK4PZC,"Wingtech Technology Co., Ltd. Class A",,Information Technology,China,0.0236305,2023-12-29
139,BFY8GV,"Shennan Circuit Co., Ltd. Class A",,Information Technology,China,0.016362,2023-12-29
140,87408010,TAL Education Group Sponsored ADR Class A,TAL-US,Consumer Discretionary,China,0.296742,2023-12-29
141,BTFRHZ,"Jiangsu King's Luck Brewery Joint-stock Co., Ltd. Class A",,Consumer Staples,China,0.0274834,2023-12-29
142,B2R2ZC,CRRC Corporation Limited Class H,1766-HK,Industrials,China,0.102699,2023-12-29
143,B4Q2TX,China Longyuan Power Group Corporation Ltd Class H,916-HK,Utilities,China,0.135049,2023-12-29
144,BRXVS6,Alibaba Health Information Technology Ltd.,241-HK,Consumer Staples,China,0.156766,2023-12-29
145,94859610,Weibo Corp. Sponsored ADR Class A,WB-US,Communication Services,China,0.0473597,2023-12-29
146,B2Q5H5,"China Pacific Insurance (Group) Co., Ltd. Class H",2601-HK,Financials,China,0.283799,2023-12-29
147,B5NRRJ,"China Everbright Bank Co., Ltd. Class H",6818-HK,Financials,China,0.0502255,2023-12-29
148,BYP71J,China Literature Ltd.,772-HK,Communication Services,China,0.0812211,2023-12-29
149,BNMBPD,"JD Logistics, Inc.",2618-HK,Industrials,China,0.132403,2023-12-29
150,B60LZR,Agricultural Bank of China Limited Class H,1288-HK,Financials,China,0.568744,2023-12-29
151,BD760S,"Ingenic Semiconductor Co., Ltd Class A",,Information Technology,China,0.0139911,2023-12-29
152,BK71FC,Ningbo Ronbay New Energy Technology Co. Ltd. Class A,,Industrials,China,0.00866153,2023-12-29
153,BRB385,Hua Hong Semiconductor Ltd.,1347-HK,Information Technology,China,0.0759287,2023-12-29
154,B44ZV9,China Hongqiao Group Ltd.,1378-HK,Materials,China,0.103387,2023-12-29
155,B63DLB,Far East Horizon Limited,3360-HK,Financials,China,0.0814793,2023-12-29
156,BY9D3L,"3SBio, Inc.",1530-HK,Health Care,China,0.0939501,2023-12-29
157,BW4NKK,"GF Securities Co., Ltd. Class H",1776-HK,Financials,China,0.0651367,2023-12-29
158,BDZRFN,"CSC Financial Co., Ltd. Class A",,Financials,China,0.046044,2023-12-29
159,B4Q4CJ,Shanghai Pharmaceuticals Holding Co. Ltd. Class H,2607-HK,Health Care,China,0.0573491,2023-12-29
160,BTFRHX,Foshan Haitian Flavouring and Food Company Ltd. Class A,,Consumer Staples,China,0.0790274,2023-12-29
161,B6SPB4,CITIC Securities Co. Ltd. Class H,6030-HK,Financials,China,0.199674,2023-12-29
162,BDF57C,"360 Security Technology, Inc. Class A",,Information Technology,China,0.0289317,2023-12-29
163,BP3RLB,"Hebei Hengshui Laobaigan Liquor Co., Ltd. Class A",,Consumer Staples,China,0.00926986,2023-12-29
164,B5730Z,"New China Life Insurance Co., Ltd. Class H",1336-HK,Financials,China,0.0859984,2023-12-29
165,B4R39F,Chow Tai Fook Jewellery Group Limited,1929-HK,Consumer Discretionary,China,0.158729,2023-12-29
166,BP3RKH,BTG Hotels (Group) Co Ltd Shs -A-,,Consumer Discretionary,China,0.007838,2023-12-29
167,BP3RJY,"Shede Spirits Co., Ltd. Class A",,Consumer Staples,China,0.0144794,2023-12-29
168,BP3RJS,Haohua Chemical Science & Technology Corp. Ltd. Class A,,Materials,China,0.0104041,2023-12-29
169,BP3RHC,"Hubei Xingfa Chemicals Group Co., Ltd. Class A",,Materials,China,0.00911729,2023-12-29
170,BP3RH1,"Angel Yeast Co., Ltd. Class A",,Consumer Staples,China,0.0137346,2023-12-29
171,BP3RGP,Jiangsu Yangnong Chemical Co. Ltd. Class A,,Materials,China,0.011527,2023-12-29
172,BP3RGF,"Tongkun Group Co., Ltd. Class A",,Materials,China,0.0163939,2023-12-29
173,BP3RFY,"Sailun Group Co., Ltd. Class A",,Consumer Discretionary,China,0.016475,2023-12-29
174,BP3RFS,"Hengtong Optic-Electric Co., Ltd. Class A",,Information Technology,China,0.0132359,2023-12-29
175,BP3RFL,"Zhuzhou Kibing Group Co., Ltd. Class A",,Industrials,China,0.00824866,2023-12-29
176,BP3RFJ,"Jiangsu Hengli Hydraulic Co., Ltd. Class A",,Industrials,China,0.0329477,2023-12-29
177,BP3RFD,"Wuchan Zhongda Group Co., Ltd. Class A",,Consumer Discretionary,China,0.010339,2023-12-29
178,BP3RF6,"Ningbo Shanshan Co., Ltd. Class A",,Materials,China,0.0138267,2023-12-29
179,BP3RF4,Sichuan Hebang Biotechnology Co. Ltd. Class A,,Materials,China,0.00936612,2023-12-29
180,BP3RDW,"China Jushi Co., Ltd. Class A",,Materials,China,0.017684,2023-12-29
181,BP3RDD,Xiamen Faratronic Co. Ltd. Class A,,Information Technology,China,0.00936308,2023-12-29
182,BP3RDC,"Shandong Hualu-Hengsheng Chemical Co., Ltd. Class A",,Materials,China,0.0263265,2023-12-29
183,BP3RD0,"Shanghai Jin Jiang International Hotels Co., Ltd. Class A",,Consumer Discretionary,China,0.0122818,2023-12-29
184,BP3RCZ,Chongqing Brewery Co.Ltd Class A,,Consumer Staples,China,0.0144524,2023-12-29
185,BP3RCV,"Hangzhou Silan Microelectronics Co., Ltd. Class A",,Information Technology,China,0.0170727,2023-12-29
186,BP3RCQ,"JCET Group Co., Ltd. Class A",,Information Technology,China,0.0240012,2023-12-29
187,BP3RCN,"Shanghai Baosight Software Co., Ltd. Class A",,Information Technology,China,0.0394611,2023-12-29
188,BP3RCK,Tongwei Co. Ltd. Class A,,Information Technology,China,0.0506394,2023-12-29
189,BP3RC9,"Shanxi Coal International Energy Group Co., Ltd. Class A",,Industrials,China,0.0155997,2023-12-29
190,BP3RC3,"Shengyi Technology Co., Ltd. Class A",,Information Technology,China,0.0193504,2023-12-29
191,BP3RBX,Sinoma International Engineering Co. Ltd. Class A,,Industrials,China,0.0110907,2023-12-29
192,BP3RBV,"Joincare Pharmaceutical Group Industry Co., Ltd. Class A",,Health Care,China,0.0106833,2023-12-29
193,BP3RBS,Guangzhou Baiyun International Airport Company Limited Class A,,Industrials,China,0.0104019,2023-12-29
194,BP3RBR,"Zhejiang Huahai Pharmaceutical Co., Ltd. Class A",,Health Care,China,0.00977355,2023-12-29
195,BP3RBJ,Yunnan Yuntianhua Co. Ltd. Class A,,Materials,China,0.0128596,2023-12-29
196,BP3RBG,"Sichuan Road & Bridge Co., Ltd. Class A",,Industrials,China,0.0244468,2023-12-29
197,BP3RBC,Liaoning Port Company Limited Class A,,Industrials,China,0.0122689,2023-12-29
198,BP3RB1,"Jonjee Hi-Tech Industrial and Commercial Holding Co., Ltd. Class A",,Consumer Staples,China,0.00991766,2023-12-29
199,BP3R9Y,"COSCO SHIPPING Energy Transportation Co., Ltd. Class A",,Energy,China,0.0191132,2023-12-29
200,BP3R9T,"Jiangsu Zhongtian Technology Co., Ltd. Class A",,Industrials,China,0.0191566,2023-12-29
201,BP3R9L,"Shanghai Electric Power Co., Ltd. Class A",,Utilities,China,0.0107089,2023-12-29
202,BP3R9J,Beijing Tiantan Biological Products Corporation Limited Class A,,Health Care,China,0.0229115,2023-12-29
203,BP3R9D,"Shandong Nanshan Aluminium Co., Ltd. Class A",,Materials,China,0.0154695,2023-12-29
204,BP3R9B,China National Medicines Corporation Ltd. Class A,,Health Care,China,0.00970412,2023-12-29
205,BP3R98,"Zhejiang Juhua Co., Ltd. Class A",,Materials,China,0.0200064,2023-12-29
206,BP3R94,China National Software & Service Company Limited Class A,,Information Technology,China,0.014017,2023-12-29
207,BP3R92,"Shanghai Zhangjiang Hi-Tech Park Development Co., Ltd. Class A",,Real Estate,China,0.0134322,2023-12-29
208,BP3R8X,"China Meheco Group Co., Ltd. Class A",,Health Care,China,0.00750888,2023-12-29
209,BP3R8V,"Shanghai Yuyuan Tourist Mart Group Co., Ltd. Class A",,Consumer Discretionary,China,0.0108697,2023-12-29
210,BP3R8B,"Keda Industrial Group Co., Ltd. Class A",,Industrials,China,0.00923763,2023-12-29
211,BP3R82,Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,,Consumer Staples,China,0.126496,2023-12-29
212,BP3R81,Guangdong HEC Technology Holding Co. Ltd. Class A,,Materials,China,0.00992783,2023-12-29
213,BP3R7Z,"Zhangzhou Pientzehuang Pharmaceutical Co., Ltd. Class A",,Health Care,China,0.0656098,2023-12-29
214,BP3R7X,"Western Mining Co., Ltd. Class A",,Materials,China,0.0152818,2023-12-29
215,BP3R7V,"FangDa Carbon New Material Co., Ltd. Class A",,Industrials,China,0.00948041,2023-12-29
216,BP3R7F,"Hisense Visual Technology Co., Ltd. Class A",,Consumer Discretionary,China,0.0122819,2023-12-29
217,BP3R7B,"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd. Class A",,Materials,China,0.014182,2023-12-29
218,BP3R79,"Shan Xi Hua Yang Group New Energy Co., Ltd. Class A",,Energy,China,0.0158227,2023-12-29
219,BP3R78,Zhejiang China Commodities City Group Co. Ltd. Class A,,Consumer Discretionary,China,0.0180467,2023-12-29
220,BP3R77,"Beiqi Foton Motor Co., Ltd. Class A",,Consumer Discretionary,China,0.00981934,2023-12-29
221,BP3R71,"Humanwell Healthcare (Group) Co.,Ltd. Class A",,Health Care,China,0.0182399,2023-12-29
222,BP3R70,"Yunnan Chihong Zinc & Germanium Co., Ltd. Class A",,Materials,China,0.0115543,2023-12-29
223,BP3R6Z,Soochow Securities Co Ltd Class A,,Financials,China,0.0164499,2023-12-29
224,BP3R6T,Avicopter Plc Class A,,Industrials,China,0.0102068,2023-12-29
225,BP3R6R,"Youngor Fashion Co., Ltd. Class A",,Real Estate,China,0.013625,2023-12-29
226,BP3R6L,Xiamen C&D Inc. Class A,,Industrials,China,0.0130053,2023-12-29
227,BP3R6K,"Fuyao Glass Industry Group Co., Ltd. Class A",,Consumer Discretionary,China,0.0336557,2023-12-29
228,BP3R6G,China Southern Airlines Company Limited Class A,,Industrials,China,0.0290708,2023-12-29
229,BP3R6F,Xiamen Tungsten Co. Ltd. Class A,,Materials,China,0.0109513,2023-12-29
230,BP3R6D,"COSCO SHIPPING Development Co., Ltd. Class A",,Industrials,China,0.0104106,2023-12-29
231,BP3R6C,Yonyou Network Technology Co. Ltd. Class A,,Information Technology,China,0.0274467,2023-12-29
232,BP3R6B,Hundsun Technologies Inc. Class A,,Information Technology,China,0.0245567,2023-12-29
233,BP3R68,"Shanxi Lu'An Environmental Energy Development Co., Ltd. Class A",,Energy,China,0.029454,2023-12-29
234,BP3R67,"China XD Electric Co., Ltd. Class A",,Industrials,China,0.0113564,2023-12-29
235,BP3R64,"Tsinghua Tongfang Co., Ltd. Class A",,Information Technology,China,0.0110661,2023-12-29
236,BP3R63,Huadian Power International Corp. Ltd. Class A,,Utilities,China,0.0196578,2023-12-29
237,BP3R60,Dongfang Electric Corporation Limited Class A,,Industrials,China,0.0182553,2023-12-29
238,BP3R5X,China Eastern Airlines Corporation Limited Class A,,Industrials,China,0.0298416,2023-12-29
239,BP3R5V,"Shenergy Co., Ltd. Class A",,Utilities,China,0.0141642,2023-12-29
240,BP3R5T,"Yutong Bus Co., Ltd. Class A",,Industrials,China,0.0131828,2023-12-29
241,BP3R5S,Yankuang Energy Group Company Limited Class A,,Energy,China,0.034067,2023-12-29
242,BP3R5Q,"Yonghui Superstores Co., Ltd. Class A",,Consumer Staples,China,0.0115007,2023-12-29
243,BP3R5M,"People.cn Co., Ltd. Class A",,Communication Services,China,0.013903,2023-12-29
244,BP3R5L,"Jinduicheng Molybdenum Co., Ltd. Class A",,Materials,China,0.0137026,2023-12-29
245,BP3R5K,"Zhejiang Chint Electrics Co., Ltd Class A",,Industrials,China,0.0207728,2023-12-29
246,BP3R5F,"Jiangsu Phoenix Publishing & Media Corp., Ltd. Class A",,Communication Services,China,0.0100756,2023-12-29
247,BP3R5D,"Shandong Gold Mining Co., Ltd. Class A",,Materials,China,0.0371478,2023-12-29
248,BP3R5C,"Beijing TongRenTang Co., Ltd. Class A",,Health Care,China,0.0330968,2023-12-29
249,BP3R5B,"China Industrial Securities Co., Ltd. Class A",,Financials,China,0.0227811,2023-12-29
250,BP3R59,Sinopec Shanghai Petrochemical Co. Ltd. Class A,,Materials,China,0.00941944,2023-12-29
251,BP3R58,"Zhongjin Gold Corp., Ltd. Class A",,Materials,China,0.0216963,2023-12-29
252,BP3R57,CMOC Group Limited Class A,,Materials,China,0.0412821,2023-12-29
253,BP3R55,"COSCO SHIPPING Holdings Co., Ltd. Class A",,Industrials,China,0.0551827,2023-12-29
254,BP3R54,"Jointown Pharmaceutical Group Co., Ltd. Class A",,Health Care,China,0.0123139,2023-12-29
255,BP3R52,"Bank of Nanjing Co., Ltd. Class A",,Financials,China,0.0343051,2023-12-29
256,BP3R51,AECC Aviation Power Co Ltd Class A,,Industrials,China,0.0447774,2023-12-29
257,BP3R4Z,Shanghai Pharmaceuticals Holding Co. Ltd. Class A,,Health Care,China,0.0209327,2023-12-29
258,BP3R4Y,"Sichuan Chuantou Energy Co., Ltd. Class A",,Utilities,China,0.0303104,2023-12-29
259,BP3R4W,Zhejiang Longsheng Group Co. Ltd. Class A,,Materials,China,0.012281,2023-12-29
260,BP3R4V,"Sinolink Securities Co., Ltd. Class A",,Financials,China,0.0151972,2023-12-29
261,BP3R4T,Huayu Automotive Systems Company Limited Class A,,Consumer Discretionary,China,0.0230657,2023-12-29
262,BP3R4R,Jiangxi Copper Company Limited Class A,,Materials,China,0.0166562,2023-12-29
263,BP3R4Q,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited Class A,,Health Care,China,0.0180694,2023-12-29
264,BP3R4P,"Shanghai International Airport Co., Ltd. Class A",,Industrials,China,0.018329,2023-12-29
265,BP3R4N,China CSSC Holdings Limited Class A,,Industrials,China,0.0591707,2023-12-29
